film,user,star,time,content
小魔女蒙娜,傲娇续小肥,力荐,2010-11-14,这个也是当初的大爱
小魔女蒙娜,西界的小蜗,力荐,2019-10-06,这部是我的童年，一直很喜欢，我童年的最爱，后来忘记名字叫什么了，问了很多人都说没看过，我还以为不存在，只是我臆想的，在b站找到她以后真的很开心。只是点开以后画质劝退，果然人啊，变心太快
小魔女蒙娜,黑猫白猫,推荐,2019-10-05,小神龙俱乐部 我的天
小魔女蒙娜,2341∞1053,推荐,2017-01-31,这样的也是 在小时候的我看来充满了想象力 幸好那个时候的动画片不是什么熊出没和喜羊羊
小魔女蒙娜,我见青山多妩媚,力荐,2015-03-21,小时候一直记得的结局是：女主蒙娜和好朋友是神经病人，幻想了一个自己的魔法世界，其实他们都住在医院里。。可怕的是今天找不到这个结局了！难道得幻想病的是小朋友时期的我自己？(⊙x⊙;)
小魔女蒙娜,笨鸟几多,还行,2018-01-19,打小就觉得一般，更喜欢同期的魔法少女莎琳娜
小魔女蒙娜,Laura,力荐,2016-03-18,小时候最爱的动画片  
小魔女蒙娜,mpor2,力荐,2019-06-09,小时候真是看过太多了～
小魔女蒙娜,潇潇Sloan🐋,力荐,2016-02-11,算是小时候最爱的动画片了，一直以为自己和蒙娜一样也是个幻想中的女魔法师
小魔女蒙娜,云,还行,2010-12-20,不喜欢形象
小魔女蒙娜,Shang,推荐,2018-11-23,小时候看的时候有点害怕，现在觉得画风好奇怪。。。2年级看的做个回忆吧
小魔女蒙娜,66,推荐,2020-02-07,为啥我看过的所有东西都是审美启蒙，why
小魔女蒙娜,Jane,力荐,2018-02-24,现在看来就是几个中二病小孩儿的世界。。。
小魔女蒙娜,为止,力荐,2017-12-29,沼泽那集，小时候看了后我就一直以为踩到沼泽里陷下去，下面是巫婆
小魔女蒙娜,憋说话吻我💋,推荐,2018-08-11,诡异的哥特式动画音效，曾经一度成为小时候的噩梦，不过最近重温一下，发现风格我还真挺喜欢的，刺激！
小魔女蒙娜,沽上凡人,还行,2018-11-22,断断续续看的，不喜欢，OP倒是现在还能哼哼出来。
小魔女蒙娜,哦,推荐,2011-10-21,"小时候很喜欢  "
小魔女蒙娜,无敌的白金之星,很差,2017-06-28,人设差，而且小时候看就觉得这群人是神经病
小魔女蒙娜,起个名字真难,推荐,2018-08-02,同年佳作。一个简单的设定玩出了无数天马行空的内容。节奏过于紧凑，台词念起来不带停的，很怀疑当年那拨人能不能跟上这速度。
小魔女蒙娜,那木,推荐,2019-06-10,那些陪伴我长大的节目系列
冰风暴,虾坨坨艺仔,2015-10-10,2015-10-10,继续补全一下李安的电影。对这部的感觉还算一般，大概从经历上讲，无法产生感情上的共鸣吧。喜欢那个读《白痴》和《神奇四侠》的少年。
冰风暴,普拉,推荐,2013-02-18,"When you think about it, it's not easy to keep from just wondering out of life.我喜欢故事的结尾，一个冰风暴的夜晚之后，第二天终是会来。"
冰风暴,小疯子小春春,力荐,2012-12-01,又一部李安的家庭伦理片，就如片名冰风暴一样，这部电影冷冷的，李安好像又化身成一个冷冷的旁观者，用自己理智的方式剖析着这个故事，家庭冷暴力，出轨，李安用细腻冷静的眼光审视着这些家庭现象，然后把这些现象中最无情的一面呈现给观众，看着是太压抑了。。。可是这才是李安，从心灵触及到你
冰风暴,新世纪腐淫战士,推荐,2013-12-30,挺有后劲儿的一部电影，不李安却又很李安！最后小男孩遭遇天谴不仅是天灾，更是人祸！70年代的确是一个微妙的时期，以美国来说他们生活的混乱与荒诞恰恰是整个社会摇摇欲坠的缩影！对于陌生人困顿却开放，对于身旁人冷漠却依赖就是最恐怖的情感形态！对于情爱，对于家庭，对于性，李安阐述地很深刻呢！
冰风暴,安非他命,推荐,2011-04-20,以后我再也不想看关于美国中产阶级中年危机的电影了。跟这部片本身质量没多大关系，只是这片是自己的break even point
冰风暴,Q。,推荐,2011-11-07,沉闷压抑的氛围，社会、家庭、性观念都受到冲击，让人说不出话的结局，更是耐人寻味。一场冰风暴过后，大家都是不知所措的失败者，只觉一阵发冷。★★★★
冰风暴,whyseeimage,推荐,2012-01-14,CC的这张海报做得太棒了。冷静下狂野的张力。
冰风暴,文李,推荐,2012-12-06,李安这片子拍的不是不好  而是太隐忍了  以至于有些枯燥无聊  还是喜欢看他讲中国人的故事
冰风暴,McLwren,推荐,2012-02-19,冰风暴是转折点，之前的各种理智与情感都像风暴来临前一样，平静却不安，之后的一切都变得不同了，包容与忏悔，离别与团聚。影片的叙事很细腻，的确是李安擅长的家庭伦理题材，在冰风暴之夜的各种诱惑和背叛，等到黎明来到时才发现原来我们一直都是一个人。
